title,release,authors,publishers,url
가상 면접 사례로 배우는 머신러닝 시스템 설계 기초,2024.02,알리 아미니안:알렉스 쉬,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=333751539
짜릿짜릿 전자부품 백과사전 2,2024.02,찰스 플랫,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=333308247
논리적 사고를 기르는 알고리즘 수업,2024.01,롤랜드 백하우스,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=332457329
UI 시스템 블랙북,2024.01,박춘언,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=331081225
사용자를 읽는 법 UX 리서치 플레이북,2024.01,백원희,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330835165
가상 면접 사례로 배우는 대규모 시스템 설계 기초 2,2024.01,알렉스 쉬:산 람,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330404121
CODE 코드 (블랙 에디션),2023.12,찰스 펫졸드,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330301790
린 UX 3판,2023.12,제프 고델프:조시 세이던,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330275782
짜릿짜릿 전자부품 백과사전 1,2023.11,찰스 플랫,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=327288901
코틀린 코루틴,2023.11,마르친 모스카와,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=326967117
타입으로 견고하게 다형성으로 유연하게,2023.10,홍재민,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=326340238
오늘날 우리는 컴퓨터라 부른다,2023.08,마틴 데이비스,인사이트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=322486774
